instance_id,framework,language,repository,seed_path,defects,reported_defects,unreported_defects,defect_type_tags,f2p_checkpoints,p2p_checkpoints,total_checkpoints,verifier_timeout_sec,gold_patch_files,gold_patch_changed_lines,score_qwen3_8_max,f2p_rate_qwen3_8_max,p2p_rate_qwen3_8_max,build_failed_qwen3_8_max,score_qwen3_6_flash,f2p_rate_qwen3_6_flash,p2p_rate_qwen3_6_flash,build_failed_qwen3_6_flash
repair-angular__code-editor-01,angular,typescript,acrodata/code-editor,repo/angular/code-editor,12,6,6,12,12,29,41,1800.0,12,25,0,,,True,0,,,True
repair-angular__core-keeper-save-editor-01,angular,typescript,halilbahar/core-keeper-save-editor,repo/angular/core-keeper-save-editor,12,7,5,12,12,28,40,1800.0,11,55,50,0.5,1,False,46.43,0.5,0.9286,False
repair-angular__d3-car-dashboard-01,angular,typescript,angular/d3-car-dashboard,repo/angular/d3-car-dashboard,12,6,6,12,12,30,42,1800.0,5,24,40.28,0.4167,0.9667,False,15.56,0.3333,0.4667,False
repair-angular__drumbeat-01,angular,typescript,angular/drumbeat,repo/angular/drumbeat,13,0,0,6,13,17,30,900.0,9,31,61.54,0.6154,1,False,53.85,0.5385,1,False
repair-angular__factoriolab-01,angular,typescript,angular/factoriolab,repo/angular/factoriolab,12,6,6,12,12,18,30,2400.0,12,38,29.63,0.3333,0.8889,False,22.22,0.25,0.8889,False
repair-angular__getmando-01,angular,typescript,rackandhost/getmando,repo/angular/getmando,12,7,5,12,12,20,32,1800.0,11,27,66.67,0.6667,1,False,0,,,True
repair-angular__graphml-viewer-01,angular,typescript,Abhi5h3k/graphml-viewer,repo/angular/graphml-viewer,12,7,5,12,12,30,42,2400.0,7,35,40.28,0.4167,0.9667,False,41.67,0.4167,1,False
repair-angular__idlespace-01,angular,typescript,angular/idlespace,repo/angular/idlespace,12,7,5,12,12,17,29,2400.0,10,24,50,0.5,1,False,58.33,0.5833,1,False
repair-angular__jira-clone-angular-01,angular,typescript,trungk18/jira-clone-angular,repo/angular/jira-clone-angular,13,7,6,13,13,12,25,1800.0,12,30,91.67,1,0.9167,False,0,,,True
repair-angular__json-i18n-editor-01,angular,typescript,yboris/json-i18n-editor,repo/angular/json-i18n-editor,12,6,6,12,12,30,42,1800.0,8,23,50,0.5,1,False,0,0,0.0333,False
repair-angular__material-angular-dashboard-01,angular,typescript,angular/material-angular-dashboard,repo/angular/material-angular-dashboard,12,7,5,12,12,29,41,900.0,12,40,56.32,0.5833,0.9655,False,48.28,0.5,0.9655,False
repair-angular__ng-alain-01,angular,typescript,ng-alain/ng-alain,repo/angular/ng-alain,10,6,4,10,12,30,42,1800.0,9,19,48.33,0.5,0.9667,False,48.33,0.5,0.9667,False
repair-angular__ng-lite-todo-01,angular,typescript,sinedied/ng-lite-todo,repo/angular/ng-lite-todo,12,7,5,1,12,30,42,2400,5,26,77.7778,0.833333,0.933333,False,57.7778,0.666667,0.866667,False
repair-angular__ngrx-material-starter-01,angular,typescript,angular/ngrx-material-starter,repo/angular/ngrx-material-starter,14,7,7,14,15,11,26,1500.0,12,27,60,0.6,1,False,66.67,0.6667,1,False
repair-angular__ngx-admin-01,angular,typescript,akveo/ngx-admin,repo/angular/ngx-admin,11,6,5,11,11,22,33,1800.0,11,139,54.55,0.5455,1,False,0,,,True
repair-angular__ngx-chess-board-01,angular,typescript,grzegorz103/ngx-chess-board,repo/angular/ngx-chess-board,12,7,5,12,12,15,27,1800.0,6,24,58.33,0.5833,1,False,50,0.5,1,False
repair-angular__pokedex-angular-app-01,angular,typescript,HybridShivam/pokedex-angular-app,repo/angular/pokedex-angular-app,12,7,5,12,12,13,25,1800.0,7,27,58.33,0.5833,1,False,0,,,True
repair-angular__quizify-01,angular,typescript,daniel-szulc/quizify,repo/angular/quizify,12,7,5,12,12,13,25,1800.0,9,24,58.33,0.5833,1,False,0,,,True
repair-angular__realworld-angular-01,angular,typescript,angular/realworld-angular,repo/angular/realworld-angular,11,6,5,11,15,19,34,1500.0,9,28,46.67,0.4667,1,False,37.89,0.4,0.9474,False
repair-angular__report-editor-01,angular,typescript,YuhuaLi/report-editor,repo/angular/report-editor,12,6,6,12,12,31,43,1800.0,9,24,36.29,0.4167,0.871,False,36.29,0.4167,0.871,False
repair-angular__skinet-01,angular,typescript,ElahehFarokhi/skinet,repo/angular/skinet,12,6,6,12,11,29,40,1800.0,12,30,54.55,0.5455,1,False,54.55,0.5455,1,False
repair-angular__swarlehtaire-01,angular,typescript,angular/swarlehtaire,repo/angular/swarlehtaire,12,0,0,12,12,13,25,900.0,7,26,50,0.5,1,False,41.67,0.4167,1,False
repair-angular__todo-app-ngrx-01,angular,typescript,nicobytes/todo-app-ngrx,repo/angular/todo-app-ngrx,12,7,5,12,12,12,24,1800.0,10,26,27.78,0.3333,0.8333,False,41.67,0.5,0.8333,False
repair-angular__trep-tracker-01,angular,typescript,angular/trep-tracker,repo/angular/trep-tracker,12,5,7,13,12,10,22,900.0,7,25,41.67,0.4167,1,False,33.33,0.3333,1,False
repair-angular__tugtainer-01,angular,typescript,Quenary/tugtainer,repo/angular/tugtainer,12,0,0,12,11,29,40,2400.0,12,46,63.64,0.6364,1,False,45.45,0.4545,1,False
repair-angular__turbopixel-01,angular,typescript,Turborium/TurboPixel,repo/angular/turbopixel,12,6,6,12,12,33,45,1800.0,7,29,50,0.5,1,False,41.67,0.4167,1,False
repair-react__15-puzzle-react-01,react,javascript,react-puzzle-games/15-puzzle-react,repo/react/15-puzzle-react,12,6,6,12,12,22,34,2400.0,6,31,55.68,0.5833,0.9545,False,0,,,True
repair-react__admiral-01,react,typescript,react/admiral,repo/react/admiral,12,7,5,12,12,17,29,900.0,12,25,54.9,0.5833,0.9412,False,47.06,0.5,0.9412,False
repair-react__ant-design-pro-01,react,typescript,react/ant-design-pro,repo/react/ant-design-pro,12,5,7,12,14,18,32,1500.0,10,19,9.52,0.1429,0.6667,False,33.73,0.3571,0.9444,False
repair-react__arcomage-hd-01,react,typescript,react/arcomage-hd,repo/react/arcomage-hd,12,6,6,12,12,17,29,900.0,9,25,50,0.5,1,False,33.33,0.3333,1,False
repair-react__battle-city-01,react,typescript,shinima/battle-city,repo/react/battle-city,12,7,5,12,12,30,42,2400.0,12,24,58.33,0.5833,1,False,27.78,0.3333,0.8333,False
repair-react__black-dashboard-react-01,react,javascript,react/black-dashboard-react,repo/react/black-dashboard-react,12,7,5,12,12,20,32,900.0,12,28,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-react__bull-rush-01,react,typescript,react/bull-rush,repo/react/bull-rush,12,7,5,12,12,24,36,1800.0,12,28,0,0,0.0417,False,31.94,0.3333,0.9583,False
repair-react__coreui-free-react-01,react,javascript,react/coreui-free-react,repo/react/coreui-free-react,12,0,0,12,12,21,33,900.0,12,26,41.67,0.4167,1,False,26.98,0.3333,0.8095,False
repair-react__crossnote-app-01,react,typescript,react/crossnote-app,repo/react/crossnote-app,12,7,5,12,13,18,31,900.0,8,32,50.85,0.5385,0.9444,False,50.85,0.5385,0.9444,False
repair-react__drawdb-01,react,javascript,react/drawdb,repo/react/drawdb,11,4,7,11,11,24,35,1500.0,8,28,34.85,0.3636,0.9583,False,0,,,True
repair-react__dunno-01,react,typescript,react/dunno,repo/react/dunno,12,6,6,12,14,22,36,1500.0,11,35,57.14,0.5714,1,False,35.71,0.3571,1,False
repair-react__eletypes-01,react,javascript,react/eletypes,repo/react/eletypes,12,0,0,12,13,12,25,900.0,5,24,25.64,0.3846,0.6667,False,46.15,0.6154,0.75,False
repair-react__fabritor-web-01,react,typescript,react/fabritor-web,repo/react/fabritor-web,12,7,5,12,12,34,46,1800.0,11,31,56.62,0.5833,0.9706,False,56.62,0.5833,0.9706,False
repair-react__filerobot-image-editor-01,react,javascript,react/filerobot-image-editor,repo/react/filerobot-image-editor,12,7,5,12,12,20,32,900.0,12,26,55.42,0.5833,0.95,False,47.5,0.5,0.95,False
repair-react__fortune-sheet-01,react,typescript,react/fortune-sheet,repo/react/fortune-sheet,12,7,5,5,14,22,36,1200.0,9,51,45.45,0.5,0.9091,False,38.96,0.4286,0.9091,False
repair-react__free-react-tailwind-admin-dashboard-01,react,typescript,react/free-react-tailwind-admin-dashboard,repo/react/free-react-tailwind-admin-dashboard,12,6,6,12,12,23,35,900.0,11,25,39.86,0.4167,0.9565,False,58.33,0.5833,1,False
repair-react__hospitalrun-repair-02,react,typescript,react/hospitalrun,repo/react/hospitalrun,10,0,0,1,10,14,24,1200.0,9,38,65,0.7,0.9286,False,65,0.7,0.9286,False
repair-react__idlecraft-01,react,typescript,react/idlecraft,repo/react/idlecraft,12,6,6,11,12,13,25,900.0,10,28,41.67,0.4167,1,False,3.21,0.0833,0.3846,False
repair-react__io-808-01,react,javascript,react/io-808,repo/react/io-808,10,0,0,6,10,14,24,900.0,7,19,83.57,0.9,0.9286,False,42.86,0.5,0.8571,False
repair-react__learn-react-app-01,react,javascript,react/learn-react-app,repo/react/learn-react-app,12,7,5,12,11,18,29,900.0,12,24,12.12,0.3636,0.3333,False,12.12,0.3636,0.3333,False
repair-react__loofi-01,react,typescript,react/loofi,repo/react/loofi,12,7,5,12,12,17,29,900.0,8,26,51.47,0.5833,0.8824,False,41.18,0.5,0.8235,False
repair-react__markdown-nice-01,react,javascript,react/markdown-nice,repo/react/markdown-nice,12,0,0,12,12,11,23,900.0,12,28,0,0,0,False,0,0,0,False
repair-react__markpad-01,react,typescript,react/markpad,repo/react/markpad,12,6,6,12,12,19,31,900.0,9,25,50,0.5,1,False,41.67,0.4167,1,False
repair-react__markra-01,react,typescript,markrahq/markra,repo/react/markra,12,7,5,12,12,20,32,3600.0,10,24,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-react__material-dashboard-react-01,react,javascript,react/material-dashboard-react,repo/react/material-dashboard-react,12,7,5,12,12,20,32,900.0,12,31,66.67,0.6667,1,False,50,0.5,1,False
repair-react__mtsee-image-editor-01,react,typescript,react/mtsee-image-editor,repo/react/mtsee-image-editor,12,0,0,12,12,10,22,900.0,12,24,100,1,1,False,83.33,0.8333,1,False
repair-react__open-dronelog-01,react,typescript,react/open-dronelog,repo/react/open-dronelog,12,7,5,12,12,17,29,900.0,4,31,29.41,0.3333,0.8824,False,39.22,0.4167,0.9412,False
repair-react__personal-kanban-01,react,typescript,react/personal-kanban,repo/react/personal-kanban,12,7,5,12,12,21,33,900.0,12,45,52.78,0.5833,0.9048,False,37.7,0.4167,0.9048,False
repair-react__pixel-art-react-01,react,javascript,jvalen/pixel-art-react,repo/react/pixel-art-react,12,7,5,12,12,10,22,1800.0,11,30,33.33,0.3333,1,False,50,0.5,1,False
repair-react__react-image-editor-01,react,javascript,react/react-image-editor,repo/react/react-image-editor,12,7,5,12,12,10,22,900.0,12,35,45,0.5,0.9,False,37.5,0.4167,0.9,False
repair-react__react-piano-01,react,javascript,react/react-piano,repo/react/react-piano,12,7,5,12,12,20,32,900.0,12,28,50,0.5,1,False,58.33,0.5833,1,False
repair-react__react-tetris-01,react,javascript,react/react-tetris,repo/react/react-tetris,12,0,0,12,12,13,25,900.0,7,22,46.15,0.5,0.9231,False,41.67,0.4167,1,False
repair-react__readme-so-01,react,javascript,octokatherine/readme.so,repo/react/readme-so,13,7,6,13,14,12,26,1500.0,6,28,64.29,0.6429,1,False,35.71,0.3571,1,False
repair-react__seven23-01,react,javascript,react/seven23,repo/react/seven23,12,0,0,12,12,12,24,900.0,11,38,50,0.5,1,False,41.67,0.4167,1,False
repair-react__takenote-01,react,typescript,react/takenote,repo/react/takenote,12,6,6,13,12,26,38,1500.0,10,21,0,0,0.0385,False,0,0,0.0385,False
repair-react__truck-tools-01,react,typescript,react/truck-tools,repo/react/truck-tools,12,7,5,12,12,18,30,900.0,10,24,58.33,0.5833,1,False,19.44,0.25,0.7778,False
repair-react__webamp-01,react,typescript,react/webamp,repo/react/webamp,14,8,6,14,14,15,29,900.0,10,29,43.33,0.5,0.8667,False,43.33,0.5,0.8667,False
repair-react__word-master-01,react,typescript,octokatherine/word-master,repo/react/word-master,12,6,6,12,12,22,34,2400.0,6,22,75.76,0.8333,0.9091,False,63.64,0.6667,0.9545,False
repair-react__ytubic-01,react,typescript,react/ytubic,repo/react/ytubic,12,7,5,12,12,18,30,900.0,7,24,66.67,0.6667,1,False,66.67,0.6667,1,False
repair-solid__ai-translate-01,solid,typescript,rafael-vasconcellos/ai-translate,repo/solid/ai-translate,12,7,5,12,12,20,32,1800.0,9,24,58.33,0.5833,1,False,41.67,0.4167,1,False
repair-solid__camunda_modeler_logicflowify-01,solid,typescript,solid/camunda_modeler_logicflowify,repo/solid/camunda_modeler_logicflowify,12,7,5,12,12,18,30,900.0,9,40,51.85,0.6667,0.7778,False,10.19,0.1667,0.6111,False
repair-solid__guinetik-01,solid,javascript,guinetik/guinetik,repo/solid/guinetik,12,7,5,12,12,19,31,1800.0,9,44,58.33,0.5833,1,False,66.67,0.6667,1,False
repair-solid__hlviewer.js-01,solid,typescript,skyrim/hlviewer.js,repo/solid/hlviewer.js,12,6,6,12,13,18,31,1800.0,8,21,69.23,0.6923,1,False,69.23,0.6923,1,False
repair-solid__holodevdao-01,solid,typescript,naomiHauret/holodevdao,repo/solid/holodevdao,12,7,5,12,12,20,32,1800.0,7,51,50,0.5,1,False,47.5,0.5,0.95,False
repair-solid__iplayer-arr-01,solid,typescript,solid/iplayer-arr,repo/solid/iplayer-arr,12,7,5,12,12,18,30,900.0,8,22,58.33,0.5833,1,False,66.67,0.6667,1,False
repair-solid__krestianstvo-playground-01,solid,javascript,NikolaySuslov/krestianstvo-playground,repo/solid/krestianstvo-playground,12,6,6,12,12,19,31,1800.0,8,24,50,0.5,1,False,0,,,True
repair-solid__microtube-01,solid,typescript,solid/microtube,repo/solid/microtube,12,7,5,12,12,18,30,1800.0,7,26,58.33,0.5833,1,False,50,0.5,1,False
repair-solid__minimal-chrome-tab-01,solid,typescript,khmm12/minimal-chrome-tab,repo/solid/minimal-chrome-tab,12,6,6,12,12,20,32,1800.0,11,26,41.67,0.4167,1,False,58.33,0.5833,1,False
repair-solid__realworld-solid-01,solid,javascript,solid/realworld-solid,repo/solid/realworld-solid,12,7,5,12,12,16,28,900.0,9,27,40.62,0.5,0.8125,False,27.08,0.3333,0.8125,False
repair-solid__shuthost-01,solid,typescript,solid/shuthost,repo/solid/shuthost,12,7,5,12,12,17,29,900.0,9,31,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-solid__smart-text-editor-01,solid,typescript,Offroaders123/Smart-Text-Editor,repo/solid/smart-text-editor,12,6,6,12,12,20,32,840.0,10,28,0,0,0.1,False,0,0,0.1,False
repair-solid__solibee-01,solid,javascript,solid/solibee,repo/solid/solibee,12,7,5,12,12,21,33,1800.0,8,25,66.67,0.6667,1,False,50,0.5,1,False
repair-solid__solid-game-of-life-01,solid,typescript,alanrsoares/solid-game-of-life,repo/solid/solid-game-of-life,12,6,6,12,12,20,32,1800.0,9,24,50,0.5,1,False,45,0.5,0.9,False
repair-solid__solid-minesweeper-01,solid,typescript,unxok/solid-minesweeper,repo/solid/solid-minesweeper,12,6,6,12,12,20,32,1800.0,4,30,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-solid__solid-shopping-cart-01,solid,typescript,bpetermann/shopping-cart,repo/solid/shopping-cart,12,6,6,12,12,16,28,1800.0,10,24,41.67,0.4167,1,False,41.67,0.4167,1,False
repair-solid__solid-site-01,solid,typescript,solidjs/solid-site,repo/solid/solid-site,12,6,6,12,12,20,32,1800.0,6,24,58.33,0.5833,1,False,63.33,0.6667,0.95,False
repair-svelte__armoria-01,svelte,typescript,svelte/armoria,repo/svelte/armoria,12,6,6,10,13,10,23,900.0,9,26,41.54,0.4615,0.9,False,0,0,0.5,False
repair-svelte__atom-clicker-01,svelte,typescript,svelte/atom-clicker,repo/svelte/atom-clicker,13,0,0,6,13,17,30,900.0,9,33,46.15,0.4615,1,False,0,,,True
repair-svelte__blockhead-01,svelte,typescript,darrylyeo/blockhead,repo/svelte/blockhead,12,7,5,12,12,26,38,3600.0,10,26,50,0.5,1,False,16.35,0.25,0.6538,False
repair-svelte__comine-01,svelte,typescript,nichind/comine,repo/svelte/comine,12,6,6,12,12,20,32,1800.0,8,24,47.5,0.5,0.95,False,39.58,0.4167,0.95,False
repair-svelte__figmaboy-01,svelte,typescript,svelte/figmaboy,repo/svelte/figmaboy,13,7,6,8,13,13,26,900.0,8,28,56.8,0.6154,0.9231,False,0,,,True
repair-svelte__flaggle-01,svelte,typescript,svelte/flaggle,repo/svelte/flaggle,11,0,0,6,11,14,25,900.0,7,24,0,0,0,False,0,0,0,False
repair-svelte__genshin-wish-sim-01,svelte,javascript,svelte/genshin-wish-sim,repo/svelte/genshin-wish-sim,13,7,6,13,13,13,26,900.0,12,28,53.85,0.5385,1,False,53.85,0.5385,1,False
repair-svelte__geoquest-01,svelte,typescript,woutdp/geoquest,repo/svelte/geoquest,12,7,5,12,12,13,25,1800.0,8,31,58.33,0.5833,1,False,50,0.5,1,False
repair-svelte__hexapipes-01,svelte,javascript,gereleth/hexapipes,repo/svelte/hexapipes,12,7,5,12,13,18,31,1500.0,8,24,50.85,0.5385,0.9444,False,41.03,0.4615,0.8889,False
repair-svelte__loot-raiders-01,svelte,typescript,svelte/loot-raiders,repo/svelte/loot-raiders,12,0,0,7,12,11,23,900.0,9,29,41.67,0.4167,1,False,41.67,0.4167,1,False
repair-svelte__macos-web-01,svelte,typescript,svelte/macos-web,repo/svelte/macos-web,13,7,6,13,13,13,26,900.0,10,26,46.15,0.4615,1,False,42.6,0.4615,0.9231,False
repair-svelte__mdflux-01,svelte,typescript,ibrahimqureshae/mdflux,repo/svelte/mdflux,12,7,5,1,12,36,48,1800.0,6,26,66.67,0.6667,1,False,58.33,0.5833,1,False
repair-svelte__mermaid-live-editor-01,svelte,typescript,svelte/mermaid-live-editor,repo/svelte/mermaid-live-editor,12,6,6,11,20,24,44,1800.0,11,35,33.54,0.35,0.9583,False,28.75,0.3,0.9583,False
repair-svelte__nimbo-01,svelte,typescript,svelte/nimbo,repo/svelte/nimbo,13,7,6,12,13,21,34,1500.0,12,32,43.96,0.4615,0.9524,False,0,0,0.0952,False
repair-svelte__personkanban-01,svelte,javascript,svelte/personkanban,repo/svelte/personkanban,13,6,7,14,13,11,24,900.0,6,30,0,0,1,False,0,0,1,False
repair-svelte__plinko-game-01,svelte,typescript,svelte/plinko-game,repo/svelte/plinko-game,10,0,0,6,11,14,25,900.0,7,30,45.45,0.4545,1,False,0,,,True
repair-svelte__svelte-storm-01,svelte,typescript,svelte/svelte-storm,repo/svelte/svelte-storm,12,0,0,10,12,13,25,900.0,8,24,50,0.5,1,False,41.67,0.4167,1,False
repair-svelte__svelte-tower-defence-01,svelte,typescript,svelte/svelte-tower-defence,repo/svelte/svelte-tower-defence,13,7,6,10,14,12,26,900.0,10,26,41.67,0.5,0.8333,False,41.67,0.5,0.8333,False
repair-svelte__svelte-video-editor-01,svelte,typescript,svelte/svelte-video-editor,repo/svelte/svelte-video-editor,13,7,6,7,13,12,25,900.0,8,25,61.54,0.6154,1,False,53.85,0.5385,1,False
repair-svelte__svelteforge-admin-01,svelte,typescript,svelte/svelteforge-admin,repo/svelte/svelteforge-admin,11,5,6,11,12,23,35,1800.0,7,20,41.67,0.4167,1,False,25,0.25,1,False
repair-svelte__sveltemark-01,svelte,typescript,svelte/sveltemark,repo/svelte/sveltemark,13,7,6,8,13,13,26,900.0,8,31,45.56,0.5385,0.8462,False,52.07,0.6154,0.8462,False
repair-svelte__visual-sorting-01,svelte,javascript,svelte/visual-sorting,repo/svelte/visual-sorting,14,0,0,5,19,38,57,900.0,6,47,0,0,0.9211,False,0,0,0.9211,False
repair-svelte__win11-svelte-01,svelte,typescript,svelte/win11-svelte,repo/svelte/win11-svelte,13,7,6,13,13,13,26,900.0,11,28,49.7,0.5385,0.9231,False,28.4,0.3077,0.9231,False
repair-svelte__wolfensvelte-01,svelte,typescript,svelte/wolfensvelte,repo/svelte/wolfensvelte,13,7,6,13,13,13,26,900.0,8,26,49.7,0.5385,0.9231,False,35.5,0.3846,0.9231,False
repair-svelte__word-peaks-01,svelte,typescript,svelte/word-peaks,repo/svelte/word-peaks,12,7,5,10,12,11,23,900.0,8,26,58.33,0.5833,1,False,25,0.25,1,False
repair-svelte__wordle-mikhad-01,svelte,typescript,svelte/wordle-mikhad,repo/svelte/wordle-mikhad,12,5,7,9,14,22,36,900.0,8,25,45.45,0.5,0.9091,False,40.91,0.4286,0.9545,False
repair-vanilla__1255-burgomaster-01,vanilla,javascript,vanilla/1255-burgomaster,repo/vanilla/1255-burgomaster,12,7,5,12,12,23,35,900.0,12,26,50,0.5,1,False,50,0.5,1,False
repair-vanilla__MineWorld-01,vanilla,javascript,vanilla/MineWorld,repo/vanilla/MineWorld,12,7,5,12,12,23,35,1800.0,5,28,41.67,0.4167,1,False,33.33,0.3333,1,False
repair-vanilla__PolyPal-01,vanilla,javascript,vanilla/PolyPal,repo/vanilla/PolyPal,12,7,5,12,12,18,30,900.0,7,23,41.67,0.4167,1,False,50,0.5,1,False
repair-vanilla__VvvebJs-01,vanilla,javascript,vanilla/VvvebJs,repo/vanilla/VvvebJs,12,7,5,11,13,15,28,1500.0,6,28,0,0,0.1333,False,12.31,0.1538,0.8,False
repair-vanilla__annihilate-01,vanilla,javascript,vanilla/annihilate,repo/vanilla/annihilate,12,7,5,12,12,17,29,900.0,9,25,27.45,0.3333,0.8235,False,29.41,0.4167,0.7059,False
repair-vanilla__audiomass-01,vanilla,javascript,vanilla/audiomass,repo/vanilla/audiomass,13,7,6,8,12,18,30,900.0,6,53,51.85,0.5833,0.8889,False,41.67,0.5,0.8333,False
repair-vanilla__beepbox-01,vanilla,typescript,vanilla/beepbox,repo/vanilla/beepbox,12,6,6,11,12,12,24,900.0,6,32,45.83,0.5,0.9167,False,0,,,True
repair-vanilla__cherry-markdown-01,vanilla,javascript,vanilla/cherry-markdown,repo/vanilla/cherry-markdown,12,7,5,12,12,14,26,900.0,13,37,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-vanilla__cm-chessboard-01,vanilla,javascript,shaack/cm-chessboard,repo/vanilla/cm-chessboard,12,7,5,12,12,21,33,1800.0,9,24,58.33,0.5833,1,False,47.62,0.5,0.9524,False
repair-vanilla__cursedSouls-01,vanilla,javascript,Bozar/cursedSouls,repo/vanilla/cursedSouls,12,7,5,12,12,20,32,900.0,5,24,58.33,0.5833,1,False,55.42,0.5833,0.95,False
repair-vanilla__dead-valley-01,vanilla,javascript,vanilla/dead-valley,repo/vanilla/dead-valley,12,7,5,12,12,25,37,1800.0,12,31,58.33,0.5833,1,False,40,0.4167,0.96,False
repair-vanilla__esp32-webStudio-IDE-01,vanilla,javascript,0xRadicalEd/esp32-webStudio-IDE,repo/vanilla/esp32-webStudio-IDE,12,6,6,12,12,29,41,900.0,3,33,58.33,0.5833,1,False,58.33,0.5833,1,False
repair-vanilla__fifteen-puzzle-maker-01,vanilla,javascript,vanilla/fifteen-puzzle-maker,repo/vanilla/fifteen-puzzle-maker,12,7,5,12,12,18,30,780.0,2,26,78.7,0.8333,0.9444,False,70.83,0.75,0.9444,False
repair-vanilla__hk-dashboard-01,vanilla,javascript,Jermen592/hk-dashboard,repo/vanilla/hk-dashboard,12,7,5,12,12,25,37,1800.0,7,24,50,0.5,1,False,50,0.5,1,False
repair-vanilla__isaac-webgame-01,vanilla,javascript,vanilla/isaac-webgame,repo/vanilla/isaac-webgame,12,7,5,12,12,30,42,900.0,6,29,50,0.5,1,False,41.67,0.4167,1,False
repair-vanilla__js-chess-game-01,vanilla,javascript,vanilla/js-chess-game,repo/vanilla/js-chess-game,12,8,4,12,12,28,40,900.0,4,29,41.67,0.4167,1,False,50,0.5,1,False
repair-vanilla__js-minecraft-01,vanilla,javascript,vanilla/js-minecraft,repo/vanilla/js-minecraft,12,7,5,12,12,17,29,900.0,11,24,58.33,0.5833,1,False,33.33,0.3333,1,False
repair-vanilla__jsminesweeper-01,vanilla,javascript,vanilla/jsminesweeper,repo/vanilla/jsminesweeper,12,7,5,12,12,18,30,1800.0,6,34,41.67,0.4167,1,False,9.26,0.1667,0.5556,False
repair-vanilla__json-editor-01,vanilla,javascript,vanilla/json-editor,repo/vanilla/json-editor,,,,12,12,14,26,900.0,9,23,46.43,0.5,0.9286,False,0,0,0.0714,False
repair-vanilla__jspaint-01,vanilla,javascript,vanilla/jspaint,repo/vanilla/jspaint,12,6,6,11,17,27,44,900.0,4,33,16.34,0.1765,0.9259,False,5.66,0.1176,0.4815,False
repair-vanilla__kaboom-game-01,vanilla,javascript,vanilla/kaboom-game,repo/vanilla/kaboom-game,12,7,5,12,12,21,33,1080.0,4,31,50,0.5,1,False,33.33,0.3333,1,False
repair-vanilla__luckysheet-01,vanilla,javascript,vanilla/luckysheet,repo/vanilla/luckysheet,12,7,5,12,12,18,30,900.0,9,32,24.07,0.3333,0.7222,False,37.04,0.4167,0.8889,False
repair-vanilla__mapdraw-01,vanilla,javascript,mapdraw/mapdraw,repo/vanilla/mapdraw,12,7,5,12,12,30,42,1800.0,6,25,66.67,0.6667,1,False,41.67,0.4167,1,False
