seed_path,upstream,upstream_url,branch,commit_sha,commit_date,snapshot_fetched_at,snapshot_sha256,provenance_source
repo/angular/ngrx-material-starter,tomastrajan/angular-ngrx-material-starter,https://github.com/tomastrajan/angular-ngrx-material-starter,,,,,,project-documentation
repo/angular/ngx-admin,akveo/ngx-admin,https://github.com/akveo/ngx-admin,,,,,,package-metadata
repo/angular/ngx-chess-board,grzegorz103/ngx-chess-board,https://github.com/grzegorz103/ngx-chess-board,master,,,2026-09-07T04:24:38.813Z,,snapshot-manifest
repo/angular/realworld-angular,,,,,,,,unresolved
repo/angular/report-editor,YuhuaLi/report-editor,https://github.com/YuhuaLi/report-editor,master,,,2026-09-07T07:02:59.046Z,,snapshot-manifest
repo/angular/skinet,ElahehFarokhi/skinet,https://github.com/ElahehFarokhi/skinet,master,,,2026-09-07T06:29:15.796Z,,snapshot-manifest
repo/angular/swarlehtaire,slmingol/swarlehtaire,https://github.com/slmingol/swarlehtaire,,,,,,package-metadata
repo/angular/todo-app-ngrx,,,,,,,,unresolved
repo/angular/trep-tracker,ltres/trep-tracker,https://github.com/ltres/trep-tracker,,,,,,project-documentation
repo/angular/tugtainer,Quenary/tugtainer,https://github.com/Quenary/tugtainer,main,,,2026-09-07T04:29:59.763Z,,snapshot-manifest
repo/angular/turbopixel,turborium/turbopixel,https://github.com/turborium/turbopixel,main,a055e6a6effedd1016edea7dd68fb428d24a55b7,2024-11-23T20:15:02+04:00,,,snapshot-manifest
repo/svelte/geoquest,woutdp/geoquest,https://github.com/woutdp/geoquest,,,,,,project-documentation
repo/angular/pokedex-angular-app,HybridShivam/pokedex-angular-app,https://github.com/HybridShivam/pokedex-angular-app,,,,,,project-documentation
repo/angular/quizify,daniel-szulc/quizify,https://github.com/daniel-szulc/quizify,,,,,,project-documentation
repo/react/15-puzzle-react,react-puzzle-games/15-puzzle,https://github.com/react-puzzle-games/15-puzzle,master,d9027cf99188af23029f1ad761aeafa657e955e5,2025-11-22T08:53:10+02:00,,,snapshot-manifest
repo/react/admiral,dev-family/admiral,https://github.com/dev-family/admiral,master,,,2026-09-07T04:32:22.862Z,,snapshot-manifest
repo/react/ant-design-pro,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,,,,,,package-metadata
repo/react/arcomage-hd,arcomage/arcomage-hd,https://github.com/arcomage/arcomage-hd,main,efa3ea4120ce2aef4625c50d492a733cf3afbbf7,2025-11-15T14:24:32+01:00,,,snapshot-manifest
repo/react/battle-city,feichao93/battle-city,https://github.com/feichao93/battle-city,master,745c369af6d4a02c71560265fd9448518e99c18d,2021-05-06T14:04:12+08:00,,,snapshot-manifest
repo/react/black-dashboard-react,creativetimofficial/black-dashboard-react,https://github.com/creativetimofficial/black-dashboard-react,,,,,,project-documentation
repo/react/bull-rush,winsznx/bull-rush,https://github.com/winsznx/bull-rush,main,3ade959f50798b5c5bd8c3f877df5af766865dec,2026-07-20T21:54:18+01:00,,,snapshot-manifest
repo/react/coreui-free-react,coreui/coreui-free-react-admin-template,https://github.com/coreui/coreui-free-react-admin-template,,,,,,package-metadata
repo/react/crossnote-app,0xGG/crossnote-app,https://github.com/0xGG/crossnote-app,main,,,2026-09-07T04:58:28.921Z,,snapshot-manifest
repo/react/drawdb,drawdb-io/drawdb,https://github.com/drawdb-io/drawdb,,,,,,project-documentation
repo/react/dunno,mvximenko/dunno,https://github.com/mvximenko/dunno,,,,,,project-documentation
repo/react/eletypes,gamer-ai/eletypes-frontend,https://github.com/gamer-ai/eletypes-frontend,,,,,,project-documentation
repo/react/fabritor-web,sleepy-zone/fabritor-web,https://github.com/sleepy-zone/fabritor-web,,,,,,package-metadata
repo/react/filerobot-image-editor,scaleflex/filerobot-image-editor,https://github.com/scaleflex/filerobot-image-editor,,,,,,package-metadata
repo/react/fortune-sheet,ruilisi/fortune-sheet,https://github.com/ruilisi/fortune-sheet,,,,,,package-metadata
repo/react/free-react-tailwind-admin-dashboard,TailAdmin/free-react-tailwind-admin-dashboard,https://github.com/TailAdmin/free-react-tailwind-admin-dashboard,main,,,2026-09-07T17:46:19.921Z,,snapshot-manifest
repo/react/hospitalrun,HospitalRun/hospitalrun-frontend,https://github.com/HospitalRun/hospitalrun-frontend,,,,,,package-metadata
repo/react/idlecraft,,,,,,,,unresolved
repo/react/io-808,vincentriemer/io-808,https://github.com/vincentriemer/io-808,,,,,,package-metadata
repo/react/learn-react-app,tyroprogrammer/learn-react-app,https://github.com/tyroprogrammer/learn-react-app,master,,,2026-09-07T20:14:37.026Z,b2420cbc80a2cc9e2536efacfb7a295a30133d43907a796f5806efc901a9821e,snapshot-manifest
repo/react/loofi,stanleyowen/loofi,https://github.com/stanleyowen/loofi,main,,,2026-09-07T04:48:28.862Z,,snapshot-manifest
repo/react/markdown-nice,nicejade/markdown-nice,https://github.com/nicejade/markdown-nice,,,,,,package-metadata
repo/react/markpad,lezli01/markpad,https://github.com/lezli01/markpad,master,,,2026-09-07T04:37:05.455Z,,snapshot-manifest
repo/react/markra,markrahq/markra,https://github.com/markrahq/markra,v2,,,2026-09-07T06:17:56.837Z,,snapshot-manifest
repo/react/material-dashboard-react,creativetimofficial/material-dashboard-react,https://github.com/creativetimofficial/material-dashboard-react,,,,,,package-metadata
repo/react/mtsee-image-editor,,,,,,,,unresolved
repo/react/open-dronelog,arpanghosh8453/open-dronelog,https://github.com/arpanghosh8453/open-dronelog,main,,,2026-09-07T04:31:16.089Z,,snapshot-manifest
repo/react/personal-kanban,nishantpainter/personal-kanban,https://github.com/nishantpainter/personal-kanban,,,,,,project-documentation
repo/react/pixel-art-react,jvalen/pixel-art-react,https://github.com/jvalen/pixel-art-react,,,,,,package-metadata
repo/react/react-image-editor,swimmingkiim/react-image-editor,https://github.com/swimmingkiim/react-image-editor,,,,,,package-metadata
repo/react/react-piano,kevinsqi/react-piano,https://github.com/kevinsqi/react-piano,,,,,,package-metadata
repo/react/react-tetris,chvin/react-tetris,https://github.com/chvin/react-tetris,,,,,,package-metadata
repo/react/readme-so,,,,,,,,unresolved
repo/react/seven23,sebastienbarbier/seven23,https://github.com/sebastienbarbier/seven23,,,,,,project-documentation
repo/react/takenote,taniarascia/takenote,https://github.com/taniarascia/takenote,,,,,,package-metadata
repo/react/truck-tools,CoffeSiberian/truck-tools,https://github.com/CoffeSiberian/truck-tools,main,,,2026-09-07T04:37:28.365Z,,snapshot-manifest
repo/react/webamp,captbaritone/webamp,https://github.com/captbaritone/webamp,,,,,,project-documentation
repo/react/word-master,octokatherine/word-master,https://github.com/octokatherine/word-master,main,5790198fd926d19d716a57cc59ed0359057733c9,2024-02-09T13:49:39-08:00,,,snapshot-manifest
repo/react/ytubic,NUber-dev/YTubic,https://github.com/NUber-dev/YTubic,main,,,2026-09-07T04:40:42.970Z,,snapshot-manifest
repo/solid/ai-translate,rafael-vasconcellos/ai-translate,https://github.com/rafael-vasconcellos/ai-translate,main,,,2026-09-07T17:46:26.148Z,4d1be81e776c13c006038d7b151b7fdc74bef8c982af788db6d88f1ea7929396,snapshot-manifest
repo/solid/camunda_modeler_logicflowify,cpf23333/camunda_modeler_logicflowify,https://github.com/cpf23333/camunda_modeler_logicflowify,master,,,2026-09-07T17:46:28.762Z,95e9263e21c93ec74648268d24956f19693c095a48f29a9df8674b26d6c0f71d,snapshot-manifest
repo/solid/guinetik,guinetik/guinetik,https://github.com/guinetik/guinetik,master,,,2026-09-07T17:46:30.067Z,d3af7365a0c1322c9f07e28dfddb4a9007e7412683e564485cbfd0940501d54e,snapshot-manifest
repo/solid/hlviewer.js,skyrim/hlviewer.js,https://github.com/skyrim/hlviewer.js,master,,,2026-09-07T06:30:48.521Z,,snapshot-manifest
repo/solid/holodevdao,naomiHauret/holodevdao,https://github.com/naomiHauret/holodevdao,main,,,2026-09-07T17:46:19.920Z,,snapshot-manifest
repo/solid/iplayer-arr,Will-Luck/iplayer-arr,https://github.com/Will-Luck/iplayer-arr,main,,,2026-09-07T05:09:05.624Z,,snapshot-manifest
repo/solid/krestianstvo-playground,NikolaySuslov/krestianstvo-playground,https://github.com/NikolaySuslov/krestianstvo-playground,main,,,2026-09-07T19:13:25.814Z,1801378c4cb18b25f598564141911f09cedb840b5ec27d974f60f9c1355951f3,snapshot-manifest
repo/solid/microtube,kirpalmakanga/microtube,https://github.com/kirpalmakanga/microtube,master,,,2026-09-07T17:46:22.486Z,05b9ee79d8abdcbe67e3cb811a911347791d536713be074de94ba11de9f9b66e,snapshot-manifest
repo/solid/minimal-chrome-tab,khmm12/minimal-chrome-tab,https://github.com/khmm12/minimal-chrome-tab,main,,,2026-09-07T05:24:54.698Z,,snapshot-manifest
repo/solid/realworld-solid,solidjs/solid-realworld,https://github.com/solidjs/solid-realworld,,,,,,package-metadata
repo/solid/shopping-cart,bpetermann/svelte-shopping-cart,https://github.com/bpetermann/svelte-shopping-cart,,,,,,project-documentation
repo/solid/shuthost,9SMTM6/shuthost,https://github.com/9SMTM6/shuthost,main,,,2026-09-07T05:22:53.321Z,,snapshot-manifest
repo/solid/smart-text-editor,Offroaders123/Smart-Text-Editor,https://github.com/Offroaders123/Smart-Text-Editor,main,,,2026-09-07T17:46:19.920Z,,snapshot-manifest
repo/solid/solibee,oslabs-beta/Solibee,https://github.com/oslabs-beta/Solibee,main,,,2026-09-07T17:46:22.115Z,049d93ffe531ec915864806493ceb40add38db65bf26039d06cbeee73e4198f0,snapshot-manifest
repo/solid/solid-game-of-life,alanrsoares/solid-game-of-life,https://github.com/alanrsoares/solid-game-of-life,main,,,2026-09-07T06:32:45.625Z,,snapshot-manifest
repo/solid/solid-minesweeper,,,,,,,,unresolved
repo/solid/solid-site,solidjs/solid-site,https://github.com/solidjs/solid-site,main,,,2026-09-07T18:17:50.454Z,8d55f272d847ce6c89d98ae5dbffa44c8f6de8b5992793c404d1417929daf8ec,snapshot-manifest
repo/svelte/armoria,Azgaar/Armoria,https://github.com/Azgaar/Armoria,,,,,,package-metadata
repo/svelte/atom-clicker,Ayfri/Atom-Clicker,https://github.com/Ayfri/Atom-Clicker,,,,,,project-documentation
repo/svelte/blockhead,darrylyeo/blockhead,https://github.com/darrylyeo/blockhead,main,a7caa77447c0c51c388df7f81fc4879d25623ab4,2026-03-18T21:32:25-07:00,,,snapshot-manifest
repo/svelte/comine,nichind/comine,https://github.com/nichind/comine,main,,,2026-09-07T05:27:17.637Z,,snapshot-manifest
repo/svelte/figmaboy,0xmiki/figmaboy,https://github.com/0xmiki/figmaboy,,,,,,project-documentation
repo/svelte/flaggle,khui0/flaggle,https://github.com/khui0/flaggle,,,,,,project-documentation
repo/svelte/genshin-wish-sim,AguzzTN54/Genshin-Impact-Wish-Simulator,https://github.com/AguzzTN54/Genshin-Impact-Wish-Simulator,,,,,,package-metadata
repo/svelte/hexapipes,gereleth/hexapipes,https://github.com/gereleth/hexapipes,main,799fef0dbf141089f5b1bd7a596965ec36726e33,2026-08-30T11:47:34Z,,,snapshot-manifest
repo/svelte/loot-raiders,Fedorse/loot-raiders,https://github.com/Fedorse/loot-raiders,,,,,,project-documentation
repo/svelte/macos-web,puruvj/macos-preact,https://github.com/puruvj/macos-preact,,,,,,project-documentation
repo/svelte/mdflux,ibrahimqureshae/mdflux,https://github.com/ibrahimqureshae/mdflux,main,,,2026-09-07T05:25:37.359Z,,snapshot-manifest
repo/svelte/mermaid-live-editor,,,,,,,,unresolved
repo/svelte/nimbo,sereneblue/nimbo,https://github.com/sereneblue/nimbo,,,,,,project-documentation
repo/svelte/personkanban,raguay/PersonKanban,https://github.com/raguay/PersonKanban,,,,,,project-documentation
repo/svelte/plinko-game,,,,,,,,unresolved
repo/svelte/svelte-storm,open-source-labs/SvelteStorm,https://github.com/open-source-labs/SvelteStorm,,,,,,project-documentation
repo/svelte/svelte-tower-defence,,,,,,,,unresolved
repo/svelte/svelte-video-editor,ariefsn/svelte-video-editor,https://github.com/ariefsn/svelte-video-editor,,,,,,package-metadata
repo/svelte/svelteforge-admin,colorlibhq/svelteforge-admin,https://github.com/colorlibhq/svelteforge-admin,,,,,,project-documentation
repo/svelte/sveltemark,MasFana/sveltemark,https://github.com/MasFana/sveltemark,,,,,,project-documentation
repo/svelte/visual-sorting,mszula/visual-sorting,https://github.com/mszula/visual-sorting,,,,,,project-documentation
repo/svelte/win11-svelte,yashash-pugalia/win11-svelte,https://github.com/yashash-pugalia/win11-svelte,,,,,,project-documentation
repo/svelte/wolfensvelte,,,,,,,,unresolved
repo/svelte/word-peaks,vegeta897/word-peaks,https://github.com/vegeta897/word-peaks,,,,,,package-metadata
repo/svelte/wordle-mikhad,MikhaD/wordle,https://github.com/MikhaD/wordle,,,,,,package-metadata
repo/vanilla/1255-burgomaster,Areso/1255-burgomaster,https://github.com/Areso/1255-burgomaster,,,,,,project-documentation
repo/vanilla/MineWorld,EVEDensity/MineWorld,https://github.com/EVEDensity/MineWorld,main,5ef2b328ea81524e12d8dbad3ced4af9ffaaeca2,2026-07-18T18:41:48+08:00,,,snapshot-manifest
repo/vanilla/PolyPal,flukeout/PolyPal,https://github.com/flukeout/PolyPal,master,fcc384abdde199521b174543048f7ec854d2f32e,2018-11-25T15:03:30-08:00,,,snapshot-manifest
repo/vanilla/VvvebJs,givanz/VvvebJs,https://github.com/givanz/VvvebJs,,,,,,package-metadata
repo/vanilla/annihilate,gonnavis/annihilate,https://github.com/gonnavis/annihilate,dev,df228128d46553587d56504ff47809f02d4de64b,2022-10-28T20:35:59+08:00,,,snapshot-manifest
repo/vanilla/audiomass,,,,,,,,unresolved
repo/vanilla/beepbox,johnnesky/beepbox,https://github.com/johnnesky/beepbox,,,,,,project-documentation
repo/vanilla/cherry-markdown,Tencent/cherry-markdown,https://github.com/Tencent/cherry-markdown,,,,,,package-metadata
repo/vanilla/cm-chessboard,shaack/cm-chessboard,https://github.com/shaack/cm-chessboard,master,,,2026-09-07T08:47:56.903Z,,snapshot-manifest
repo/vanilla/cursedSouls,Bozar/cursedSouls,https://github.com/Bozar/cursedSouls,master,aac2d6203f2a519d307b0df34ea62eb9834ceb8a,2018-08-12T19:24:00+08:00,,,snapshot-manifest
repo/vanilla/dead-valley,dmcinnes/dead-valley,https://github.com/dmcinnes/dead-valley,master,c5afca62acee8fa9b1a96215633810de5eb899ba,2017-04-20T22:18:32-07:00,,,snapshot-manifest
repo/vanilla/esp32-webStudio-IDE,0xRadicalEd/esp32-webStudio-IDE,https://github.com/0xRadicalEd/esp32-webStudio-IDE,main,5935c55231d2a3967d94187502bbce230c01e461,2026-04-18T04:34:38-07:00,,,snapshot-manifest
repo/vanilla/fifteen-puzzle-maker,Kirilllive/Fifteen_puzzle_maker,https://github.com/Kirilllive/Fifteen_puzzle_maker,main,3690769d5d6e1607cbfb6b16302155394cfb019e,2026-08-30T00:31:52+03:00,,,snapshot-manifest
repo/vanilla/hk-dashboard,Jermen592/hk-dashboard,https://github.com/Jermen592/hk-dashboard,master,,,2026-09-07T08:47:25.460Z,,snapshot-manifest
repo/vanilla/isaac-webgame,liyupi/binding-of-isaac-webgame,https://github.com/liyupi/binding-of-isaac-webgame,main,444138dc4e7c865182f7d80ab0201670837f2939,2026-07-30T18:24:40+08:00,,,snapshot-manifest
repo/vanilla/js-chess-game,AhmadAlkholy/Javascript-Chess-Game,https://github.com/AhmadAlkholy/Javascript-Chess-Game,master,faac380e36f2b496f645aa944238983a878f4ebf,2026-07-23T02:22:58+03:00,,,snapshot-manifest
repo/vanilla/js-minecraft,LabyStudio/js-minecraft,https://github.com/LabyStudio/js-minecraft,master,468f942c4984578a03e472c49646198680489723,2024-01-26T13:25:53+01:00,,,snapshot-manifest
repo/vanilla/jsminesweeper,DavidNHill/JSMinesweeper,https://github.com/DavidNHill/JSMinesweeper,master,01eafd3fea4e95c7c692f231c5088fc7a1f0dc00,2026-06-29T13:52:49+01:00,,,snapshot-manifest
repo/vanilla/json-editor,json-editor/json-editor,https://github.com/json-editor/json-editor,,,,,,package-metadata
repo/vanilla/jspaint,1j01/jspaint,https://github.com/1j01/jspaint,,,,,,package-metadata
repo/vanilla/kaboom-game,pwmarcz/kaboom,https://github.com/pwmarcz/kaboom,master,2c5cc170ae7a2ac6faf4da348e13b50c5c3dddb4,2021-08-01T16:26:11+02:00,,,snapshot-manifest
repo/vanilla/luckysheet,mengshukeji/Luckysheet,https://github.com/mengshukeji/Luckysheet,,,,,,project-documentation
repo/vanilla/mapdraw,mapdraw/mapdraw,https://github.com/mapdraw/mapdraw,main,,,2026-09-07T08:47:12.143Z,,snapshot-manifest
repo/vanilla/method-draw,methodofaction/Method-Draw,https://github.com/methodofaction/Method-Draw,,,,,,package-metadata
repo/vanilla/minesweeper,,,,,,,,unresolved
repo/vanilla/mini-militia,ashimregme/mini-militia,https://github.com/ashimregme/mini-militia,master,02872c2c0dfbcebeee29f81481369575b03f87e6,2022-09-29T13:08:06+05:45,,,snapshot-manifest
repo/vanilla/mini-padder,Dinir/mini-padder,https://github.com/Dinir/mini-padder,master,988a83307efd18b8dbef3705a47bab7024f383d1,2026-03-29T12:18:17+09:00,,,snapshot-manifest
repo/vanilla/minipaint,viliusle/miniPaint,https://github.com/viliusle/miniPaint,,,,,,package-metadata
repo/vanilla/modern-portfolio-website-template,mrinmoy-hex/Modern-Portfolio-Website-Template,https://github.com/mrinmoy-hex/Modern-Portfolio-Website-Template,main,,,2026-09-07T08:48:00.219Z,,snapshot-manifest
repo/vanilla/monopoly-vanilla,intrepidcoder/monopoly,https://github.com/intrepidcoder/monopoly,master,3537fc393930f1712e8b4d6fbe2e80b25419ceed,2021-02-23T13:46:31-05:00,,,snapshot-manifest
repo/vanilla/moon-rover,winchxyz/moon-rover,https://github.com/winchxyz/moon-rover,main,f5f25ba6bf7477c612b408b265c9275a4fd1200d,2026-08-17T10:22:09+03:00,,,snapshot-manifest
repo/vanilla/neovid,sepandhaghighi/neovid,https://github.com/sepandhaghighi/neovid,main,,,2026-09-07T08:47:32.573Z,,snapshot-manifest
repo/vanilla/organya-js,alula/organya-js,https://github.com/alula/organya-js,master,,,2026-09-07T08:47:12.917Z,,snapshot-manifest
repo/vanilla/painter,wangyuheng/painter,https://github.com/wangyuheng/painter,master,,,2026-09-07T08:47:28.655Z,,snapshot-manifest
repo/vanilla/piskel,piskelapp/piskel,https://github.com/piskelapp/piskel,,,,,,package-metadata
repo/vanilla/pixel-paint,Kully/pixel-paint,https://github.com/Kully/pixel-paint,master,6dca77a1882ac55ef45bbfb299051d93c35b7113,2026-05-12T13:21:45-04:00,,,snapshot-manifest
repo/vanilla/progress-knight,ihtasham42/progress-knight,https://github.com/ihtasham42/progress-knight,main,f6dd0c3c444d838f80325bbdca918160b99e89e5,2021-07-11T13:32:49+01:00,,,snapshot-manifest
repo/vanilla/pulseq,Valent-in/pulseq,https://github.com/Valent-in/pulseq,master,,,2026-09-07T08:47:17.984Z,,snapshot-manifest
repo/vanilla/realworld-wc,,,,,,,,unresolved
repo/vanilla/slickgrid,6pac/SlickGrid,https://github.com/6pac/SlickGrid,,,,,,package-metadata
repo/vanilla/slot-game,n1md7/slot-game,https://github.com/n1md7/slot-game,master,ccf637c51ffdd06457bb01e8cd3f3ba6729ff0bc,2024-10-02T23:01:12+03:00,,,snapshot-manifest
repo/vanilla/stampadia-generals,kesiev/stampadia-generals,https://github.com/kesiev/stampadia-generals,main,11edbc113a3e4ca383d899b05bd1dcc45295aab0,2026-06-24T16:54:23+02:00,,,snapshot-manifest
repo/vanilla/star-battle,gd4Ark/star-battle,https://github.com/gd4Ark/star-battle,master,b600e9e91012886f6273d6b3c91d6ab83b5eecad,2024-03-26T23:02:45+08:00,,,snapshot-manifest
repo/vanilla/summernote,summernote/summernote,https://github.com/summernote/summernote,,,,,,package-metadata
repo/vanilla/svgedit,SVG-Edit/svgedit,https://github.com/SVG-Edit/svgedit,,,,,,package-metadata
repo/vanilla/svgomg,jakearchibald/svgomg,https://github.com/jakearchibald/svgomg,,,,,,package-metadata
repo/vanilla/tss,rinrab/tss,https://github.com/rinrab/tss,main,e9e7fa9ada301987bf04d67221a8c6e227a86057,2026-03-19T10:20:15+01:00,,,snapshot-manifest
repo/vanilla/vditor,Vanessa219/vditor,https://github.com/Vanessa219/vditor,,,,,,package-metadata
repo/vanilla/x-spreadsheet,myliang/x-spreadsheet,https://github.com/myliang/x-spreadsheet,,,,,,package-metadata
repo/vanilla/yet-another-idle-rpg,miktaew/yet-another-idle-rpg,https://github.com/miktaew/yet-another-idle-rpg,master,e3356432ad5112f30842cfe6a6b5c3a4ced77de9,2026-06-23T17:49:10+02:00,,,snapshot-manifest
repo/vue/admin-one-vue-tailwind,justboil/admin-one-vue-tailwind,https://github.com/justboil/admin-one-vue-tailwind,master,8a1c411b62c2fd01b7bd81feed7f4e36c46047e7,2025-11-27T20:46:27+05:00,,,snapshot-manifest
repo/vue/arco-design-pro-vue,,,,,,,,unresolved
repo/vue/art-design-pro,Daymychen/art-design-pro,https://github.com/Daymychen/art-design-pro,,,,,,project-documentation
repo/vue/bitmappery,igorski/bitmappery,https://github.com/igorski/bitmappery,master,93d5bdb9696607e72185b1003f3d160def58f3dd,2026-08-28T21:30:04+02:00,,,snapshot-manifest
repo/vue/code-run,wanglin2/code-run,https://github.com/wanglin2/code-run,,,,,,package-metadata
repo/vue/cool-admin-vue,cool-team-official/cool-admin-vue,https://github.com/cool-team-official/cool-admin-vue,8.x,,,2026-09-07T17:46:19.921Z,,snapshot-manifest
repo/vue/coreui-free-vue,coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,,,,,,package-metadata
repo/vue/d2-admin,d2-projects/d2-admin,https://github.com/d2-projects/d2-admin,,,,,,package-metadata
repo/vue/dashy,Lissy93/dashy,https://github.com/Lissy93/dashy,,,,,,project-documentation
repo/vue/dmarcguard,dmarcguardhq/dmarcguard,https://github.com/dmarcguardhq/dmarcguard,main,,,2026-09-07T05:45:08.382Z,,snapshot-manifest
repo/vue/domternal,domternal/domternal,https://github.com/domternal/domternal,main,,,2026-09-07T06:05:04.619Z,,snapshot-manifest
repo/vue/e-card,SmallTeddyGames/e-card,https://github.com/SmallTeddyGames/e-card,main,,,2026-09-07T05:46:17.407Z,,snapshot-manifest
repo/vue/focustide,Hanziness/FocusTide,https://github.com/Hanziness/FocusTide,,,,,,project-documentation
repo/vue/homer,bastienwirtz/homer,https://github.com/bastienwirtz/homer,main,,,2026-09-07T06:20:05.789Z,,snapshot-manifest
repo/vue/idle-negentropy-war,setube/idle-negentropy-war,https://github.com/setube/idle-negentropy-war,,,,,,project-documentation
repo/vue/idle-wild-my-survival-saga,setube/idle-wild-my-survival-saga,https://github.com/setube/idle-wild-my-survival-saga,,,,,,project-documentation
repo/vue/idle-xiuxian,,,,,,,,unresolved
repo/vue/markdown-online-editor,nicejade/markdown-online-editor,https://github.com/nicejade/markdown-online-editor,master,4ba1e8f4224f07e5fa0a890ef1182b04cb9c031c,2026-09-04T10:36:26Z,,,snapshot-manifest
repo/vue/restfox-ui,,,,,,,,unresolved
repo/vue/solomd,,,,,,,,unresolved
repo/vue/synced-lyrics-editor-webapp-v2,obillekyle/synced-lyrics-editor-webapp-v2,https://github.com/obillekyle/synced-lyrics-editor-webapp-v2,layout,,,2026-09-07T05:56:13.091Z,,snapshot-manifest
repo/vue/tauri-xs-admin,jsxiaosi/tauri-xs-admin,https://github.com/jsxiaosi/tauri-xs-admin,main,,,2026-09-07T05:47:29.376Z,,snapshot-manifest
repo/vue/threejs-editor-vue,z2586300277/threejs-editor,https://github.com/z2586300277/threejs-editor,page,d7e2ddf6cc1fa8c626356a3606167abff68daaed,2026-05-20T12:08:00+08:00,,,snapshot-manifest
repo/vue/uview-pro,anyup/uView-Pro,https://github.com/anyup/uView-Pro,master,,,2026-09-07T17:46:19.921Z,,snapshot-manifest
repo/vue/vue-admin-box,cmdparkour/vue-admin-box,https://github.com/cmdparkour/vue-admin-box,master,2c534a5adb70effa9cd8605cbe95b6ef3dc3ddb2,2025-05-07T17:08:56+08:00,,,snapshot-manifest
repo/vue/vue-color-avatar,Codennnn/vue-color-avatar,https://github.com/Codennnn/vue-color-avatar,,,,,,project-documentation
repo/vue/vue-crypto-dashboard,JayeshLab/vue-crypto-dashboard,https://github.com/JayeshLab/vue-crypto-dashboard,,,,,,package-metadata
